Region,Agreement_Type,Provider,Generation_Type,Generation_Capacity,PeriodCode,value,Date,temperature_2m_mean,wind_speed_10m_max,daylight_duration,snowfall_sum,temperature_2m_max,temperature_2m_min,precipitation_sum
Vilniaus regionas,KV,T,Gaminantis vartotojas,"22,25",KWH01,545525.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"19,72",KWH01,275888.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"20,79",KWH01,197656.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"19,8",KWH01,120302.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"54,93",KWH01,43213.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"49,95",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"249,7",KWH01,60118.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"499,95",KWH01,56443.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"50,22",KWH01,38769.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"99,76",KWH01,38990.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"13,68",KWH01,22617.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"300,15",KWH01,33859.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,50,KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"50,1",KWH01,32048.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
